Country,Forest_GDP
Solomon Islands,20.27
Liberia,13.27
Burundi,10.31
Guinea-Bissau,9.24
Central African Republic,8.99
"Congo, Democratic Republic of the",8.72
Uganda,7.32
Sierra Leone,6.92
Mozambique,6.46
Malawi,6.19
Ethiopia,5.81
Guinea,4.81
Guyana,4.56
Burkina Faso,4.54
Zambia,4.45
Niger,4.41
Madagascar,4.34
Togo,3.96
Chad,3.81
Rwanda,3.75
Ghana,3.51
Lesotho,3.34
"Congo, Republic of the",3.17
Sudan,3.01
South Sudan,2.65
Gabon,2.6
Cameroon,2.5
"Gambia, The",2.47
Suriname,2.36
Eswatini,2.25
Benin,2.24
Tanzania,2.19
Papua New Guinea,2.08
Cote d'Ivoire,2.04
Mali,2.02
Sao Tome and Principe,1.9
Bhutan,1.89
Burma,1.69
Zimbabwe,1.61
Malaysia,1.57
Uruguay,1.56
Equatorial Guinea,1.52
Vietnam,1.49
Laos,1.48
Senegal,1.46
Comoros,1.39
Kenya,1.3
Mauritania,1.3
Nicaragua,1.26
Paraguay,1.21
Tajikistan,1.12
Belarus,1.02
Nigeria,1.02
Honduras,0.91
Estonia,0.85
Latvia,0.85
Cambodia,0.84
Costa Rica,0.82
Guatemala,0.78
Haiti,0.68
Brazil,0.62
El Salvador,0.6
Fiji,0.59
Vanuatu,0.54
New Zealand,0.5
Bosnia and Herzegovina,0.49
Chile,0.49
Namibia,0.47
Nepal,0.45
Montenegro,0.43
Indonesia,0.39
Cabo Verde,0.38
Serbia,0.38
Angola,0.36
Finland,0.36
Thailand,0.34
Ukraine,0.34
Bolivia,0.33
Belize,0.31
Lithuania,0.31
Russia,0.29
Armenia,0.28
Ecuador,0.27
Samoa,0.27
Croatia,0.26
Djibouti,0.26
Moldova,0.26
Botswana,0.23
Bulgaria,0.22
Slovakia,0.22
Sweden,0.21
Tunisia,0.21
Afghanistan,0.2
Slovenia,0.2
Albania,0.18
Philippines,0.18
Czechia,0.17
Poland,0.17
Romania,0.16
Egypt,0.15
Jamaica,0.15
North Macedonia,0.15
India,0.14
Mongolia,0.14
Australia,0.13
Morocco,0.13
Portugal,0.13
Timor-Leste,0.13
Peru,0.12
Algeria,0.1
Colombia,0.1
Hungary,0.1
Mexico,0.1
Pakistan,0.1
Argentina,0.09
Seychelles,0.09
Bangladesh,0.08
Canada,0.08
China,0.08
Panama,0.08
Turkey (Turkiye),0.08
Austria,0.07
Georgia,0.07
Cuba,0.06
Libya,0.06
Sri Lanka,0.06
Brunei,0.05
Norway,0.05
Trinidad and Tobago,0.05
Kiribati,0.04
United States,0.04
Yemen,0.04
Dominica,0.03
Dominican Republic,0.03
France,0.03
Germany,0.03
Tonga,0.03
Azerbaijan,0.02
Belgium,0.02
Denmark,0.02
Japan,0.02
Jordan,0.02
"Micronesia, Federated States of",0.02
Saint Vincent and the Grenadines,0.02
Spain,0.02
"Bahamas, The",0.01
Barbados,0.01
Greece,0.01
Iran,0.01
Ireland,0.01
Italy,0.01
"Korea, South",0.01
Kyrgyzstan,0.01
Luxembourg,0.01
Netherlands,0.01
Saint Lucia,0.01
Switzerland,0.01
United Kingdom,0.01
American Samoa,0.0
Andorra,0.0
Antigua and Barbuda,0.0
Aruba,0.0
Bahrain,0.0
Cayman Islands,0.0
Curacao,0.0
Cyprus,0.0
Faroe Islands,0.0
Gaza Strip,0.0
Greenland,0.0
Grenada,0.0
Guam,0.0
Hong Kong,0.0
Iceland,0.0
Iraq,0.0
Isle of Man,0.0
Israel,0.0
Kazakhstan,0.0
Kosovo,0.0
Kuwait,0.0
Lebanon,0.0
Liechtenstein,0.0
Macau,0.0
Maldives,0.0
Malta,0.0
Marshall Islands,0.0
Mauritius,0.0
Monaco,0.0
Nauru,0.0
Northern Mariana Islands,0.0
Oman,0.0
Palau,0.0
Puerto Rico,0.0
Qatar,0.0
Saint Kitts and Nevis,0.0
San Marino,0.0
Saudi Arabia,0.0
Singapore,0.0
Turkmenistan,0.0
Turks and Caicos Islands,0.0
Tuvalu,0.0
United Arab Emirates,0.0
Uzbekistan,0.0
Virgin Islands,0.0
West Bank,0.0
